recipe_id,import_key,name,category,cuisine,householdCount
THA-001,tha_original:THA-001,"Apple, Oat & Cinnamon Morning Bowl",breakfast,British family kitchen,10
THA-002,tha_original:THA-002,"Chickpea, Lemon & Spinach Soup",lunch,Mediterranean-inspired,20
THA-003,tha_original:THA-003,Basil Tomato Wholewheat Pasta,dinner,Italian-inspired,33
THA-004,tha_original:THA-004,"Golden Potato, Chickpea & Spinach Curry",dinner,Indian-inspired,40
THA-005,tha_original:THA-005,Gentle Taco Rice Bowls,dinner,Mexican-inspired,30
THA-006,tha_original:THA-006,Roast Vegetable & Butter Bean Traybake,dinner,Mediterranean-inspired,39
THA-007,tha_original:THA-007,"Chicken, Leek & Wholewheat Orzo One-Pot",dinner,British-Mediterranean family kitchen,21
THA-008,tha_original:THA-008,Lentil & Root Vegetable Cottage Pie,dinner,British family kitchen,26
THA-009,tha_original:THA-009,"Salmon, Broccoli & Brown Rice Traybake",dinner,Nordic-Mediterranean inspired,17
THA-010,tha_original:THA-010,"Roasted Carrot, Chickpea & Herb Grain Salad",side,Middle Eastern-inspired,9
THA-011,tha_original:THA-011,"Pakistani-Style Feta, Parsnip & Cauliflower Egg Skillet",breakfast,Pakistani-inspired,15
THA-012,tha_original:THA-012,"Malaysian-Style Cottage Cheese, Asparagus & Peas Breakfast Wrap",breakfast,Malaysian-inspired,23
THA-013,tha_original:THA-013,"North African-Style Lentil, Celery & Mushroom Toast Plate",breakfast,North African-inspired,25
THA-014,tha_original:THA-014,"Californian-Style Split Pea, Broccoli & Fennel Breakfast Hash",breakfast,Californian-inspired,13
THA-015,tha_original:THA-015,"French country-Style Cod, Red Pepper & Pumpkin Egg Skillet",breakfast,French country-inspired,15
THA-016,tha_original:THA-016,"Pakistani-Style Feta, Tomato & Green Bean Breakfast Wrap",breakfast,Pakistani-inspired,10
THA-017,tha_original:THA-017,"Malaysian-Style Cottage Cheese, Peas & Pumpkin Toast Plate",breakfast,Malaysian-inspired,10
THA-018,tha_original:THA-018,"North African-Style Edamame, Cabbage & Celery Breakfast Hash",breakfast,North African-inspired,12
THA-019,tha_original:THA-019,"Californian-Style Cannellini Bean, Radish & Aubergine Egg Skillet",breakfast,Californian-inspired,13
THA-020,tha_original:THA-020,"French country-Style Tuna, Butternut Squash & Red Cabbage Breakfast Wrap",breakfast,French country-inspired,2
THA-021,tha_original:THA-021,"Pakistani-Style Feta, Parsnip & Fennel Toast Plate",breakfast,Pakistani-inspired,10
THA-022,tha_original:THA-022,"Malaysian-Style Cottage Cheese, Asparagus & Spinach Breakfast Hash",breakfast,Malaysian-inspired,11
THA-023,tha_original:THA-023,"North African-Style Haricot Bean, Celery & Cherry Tomato Egg Skillet",breakfast,North African-inspired,13
THA-024,tha_original:THA-024,"Californian-Style Lentil, Broccoli & Radish Breakfast Wrap",breakfast,Californian-inspired,8
THA-025,tha_original:THA-025,"French country-Style Sardine, Red Pepper & Pak Choi Toast Plate",breakfast,French country-inspired,2
THA-026,tha_original:THA-026,"Pakistani-Style Feta, Tomato & Cauliflower Breakfast Hash",breakfast,Pakistani-inspired,1
