recipe_id,recipe_name,legacy_recipe_name,category,cuisine_inspiration,difficulty,servings,prep_minutes,cook_minutes,ingredients,method,why_this_works_for_tha,planner_readability_notes,acquisition_lane,acquisition_type,meal_source_type,collection,import_key,slug
THA-001,"Apple, Oat & Cinnamon Morning Bowl","The Healthy Apples Apple, Oat & Cinnamon Morning Bowl",breakfast,British family kitchen,easy,4,10,10,"160g rolled wholegrain oats
600ml semi-skimmed milk or unsweetened oat milk
200ml water
2 eating apples, 1 grated and 1 diced
1 tsp ground cinnamon
1 tbsp mixed seeds
1 tbsp chopped walnuts, optional
1 tsp honey per bowl, optional","1. Put the oats, milk, water, grated apple and cinnamon in a saucepan.
2. Bring to a gentle simmer and cook for 6–8 minutes, stirring often, until creamy.
3. Stir in half the diced apple for the final minute.
4. Spoon into bowls and top with remaining apple, seeds and walnuts.
5. Finish with a little honey only if wanted.","Wholegrain oats, apple, seeds and nuts create a filling whole-food breakfast with sweetness from fruit rather than added sugar.","contains wholegrain oats
contains fresh apple
mild base recipe
breakfast
no-cook overnight option possible",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-001,apple-oat-cinnamon-morning-bowl
THA-002,"Chickpea, Lemon & Spinach Soup","The Healthy Apples Chickpea, Lemon & Spinach Soup",lunch,Mediterranean-inspired,easy,4,15,25,"1 tbsp olive oil
1 onion, finely chopped
2 carrots, diced
2 celery sticks, diced
3 garlic cloves, crushed
1 tsp ground cumin
1 tsp ground coriander
2 x 400g tins chickpeas, drained
1.2 litres low-salt vegetable stock
1 tbsp tomato purée
100g fresh spinach, chopped
Juice of 1 lemon
Black pepper and a little salt
Wholegrain bread, to serve","1. Heat the olive oil in a large pan and cook onion, carrots and celery for 8 minutes.
2. Add garlic, cumin and coriander and cook for 1 minute.
3. Stir in tomato purée, chickpeas and stock.
4. Simmer for 12–15 minutes until the vegetables are tender.
5. Blitz a third of the soup if a thicker texture is wanted.
6. Stir in spinach and lemon juice, season lightly and serve with wholegrain bread.","Chickpeas, vegetables and spinach make a filling plant-forward lunch with flavour from lemon, cumin and coriander rather than heavy salt.","contains chickpeas
contains spinach
mild base recipe
lunch
batch-cook friendly
freezer friendly before adding lemon",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-002,chickpea-lemon-spinach-soup
THA-003,Basil Tomato Wholewheat Pasta,The Healthy Apples Basil Tomato Wholewheat Pasta,dinner,Italian-inspired,easy,4,10,25,"350g wholewheat pasta
1 tbsp olive oil
1 onion, finely chopped
3 garlic cloves, chopped
2 x 400g tins chopped tomatoes
1 tbsp tomato purée
1 tsp dried oregano
1 tsp balsamic vinegar
Black pepper and a little salt
1 large handful fresh basil
30g Parmesan or vegetarian hard cheese, optional","1. Cook onion gently in olive oil for 8 minutes.
2. Add garlic and oregano and cook for 1 minute.
3. Stir in tomato purée, chopped tomatoes and balsamic vinegar.
4. Simmer for 15–18 minutes until thickened.
5. Cook pasta until just tender, reserving a little pasta water.
6. Toss pasta through the sauce and finish with basil.","A familiar pasta meal made from real tomatoes, onion, garlic and herbs, with wholewheat pasta for extra fibre and fullness.","contains wholewheat pasta
tomato sauce from scratch
mild base recipe
dinner
sauce is freezer friendly",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-003,basil-tomato-wholewheat-pasta
THA-004,"Golden Potato, Chickpea & Spinach Curry","The Healthy Apples Golden Potato, Chickpea & Spinach Curry",dinner,Indian-inspired,easy,4,15,30,"1 tbsp vegetable oil
1 onion, finely chopped
3 garlic cloves, crushed
20g fresh ginger, grated
1 tsp ground cumin
1 tsp ground coriander
1 tsp ground turmeric
1 tsp garam masala
500g potatoes, cubed
1 x 400g tin chopped tomatoes
1 x 400g tin chickpeas, drained
300ml low-salt vegetable stock
100g fresh spinach
Brown basmati rice or wholemeal flatbreads, to serve","1. Cook onion in oil for 8 minutes until soft.
2. Add garlic and ginger for 1 minute, then stir in spices.
3. Add potatoes, chopped tomatoes and stock.
4. Cover and simmer for 15 minutes.
5. Add chickpeas and cook for 8–10 minutes more until potatoes are tender.
6. Stir through spinach and serve with brown rice or wholemeal flatbreads.","A mild curry made from aromatics and spices, with chickpeas, potatoes and spinach for a filling plant-forward dinner.","contains chickpeas
contains potatoes
contains spinach
mild base recipe
batch-cook friendly
freezer friendly",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-004,golden-potato-chickpea-spinach-curry
THA-005,Gentle Taco Rice Bowls,The Healthy Apples Gentle Taco Rice Bowls,dinner,Mexican-inspired,easy,4,15,25,"250g brown rice
1 tbsp olive oil
1 onion, finely chopped
1 red pepper, diced
2 garlic cloves, crushed
250g quality lean beef mince
1 tsp ground cumin
1 tsp smoked paprika
1 tsp dried oregano
1 tbsp tomato purée
1 x 400g tin chopped tomatoes
1 x 400g tin black beans, drained
150g sweetcorn
Shredded lettuce, tomato, avocado, lime and natural yoghurt, to serve","1. Cook brown rice until tender.
2. Cook onion and pepper in olive oil for 6–7 minutes.
3. Add garlic and beef mince and brown well.
4. Stir in cumin, smoked paprika, oregano and tomato purée.
5. Add tomatoes, black beans and sweetcorn and simmer for 10 minutes.
6. Serve over rice with lettuce, tomato, avocado, lime and yoghurt.","A small amount of quality beef is stretched with beans, vegetables and brown rice, keeping the meal plant-forward and filling.","contains beef mince
contains black beans
contains brown rice
mild base recipe
batch-cook friendly
freezer friendly",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-005,gentle-taco-rice-bowls
THA-006,Roast Vegetable & Butter Bean Traybake,The Healthy Apples Roast Vegetable & Butter Bean Traybake,dinner,Mediterranean-inspired,easy,4,15,40,"2 courgettes, cut into chunks
2 peppers, cut into chunks
1 red onion, cut into wedges
300g cherry tomatoes
2 x 400g tins butter beans, drained
3 garlic cloves, sliced
2 tbsp olive oil
1 tsp dried mixed herbs
1 tbsp tomato purée
1 tsp balsamic vinegar
Fresh parsley or basil, chopped
Wholegrain bread or brown rice, to serve","1. Heat oven to 200°C fan.
2. Toss courgettes, peppers, onion and tomatoes with garlic, olive oil and herbs.
3. Roast for 20 minutes.
4. Whisk tomato purée, balsamic vinegar and a little water into a dressing.
5. Add butter beans and dressing to tray and roast for 15–18 minutes more.
6. Scatter with herbs and serve with wholegrain bread or brown rice.","Vegetables lead the tray, butter beans make it filling, and the sauce is built from tomato purée, vinegar, herbs and roasting juices.","contains butter beans
one-tray method
mild base recipe
dinner
batch-cook friendly",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-006,roast-vegetable-butter-bean-traybake
THA-007,"Chicken, Leek & Wholewheat Orzo One-Pot","The Healthy Apples Chicken, Leek & Wholewheat Orzo One-Pot",dinner,British-Mediterranean family kitchen,medium,4,15,35,"1 tbsp olive oil
4 higher-welfare skinless boneless chicken thighs, cut into pieces
2 leeks, sliced and washed
2 carrots, diced
2 garlic cloves, crushed
1 tsp dried thyme
250g wholewheat orzo
900ml low-salt chicken stock
100g frozen peas
80g fresh spinach
Zest and juice of 1 lemon
Grated hard cheese, optional","1. Brown chicken pieces in olive oil, then lift out.
2. Cook leeks and carrots for 6–7 minutes.
3. Add garlic and thyme for 1 minute.
4. Return chicken to pan, add orzo and stock and simmer for 12–14 minutes, stirring often.
5. Stir in peas and spinach for 2–3 minutes.
6. Finish with lemon zest and juice.","A modest amount of quality chicken supports a pot led by leeks, carrots, peas, spinach and wholewheat orzo.","contains chicken
contains wholewheat orzo
one-pot method
mild base recipe
best eaten fresh",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-007,chicken-leek-wholewheat-orzo-one-pot
THA-008,Lentil & Root Vegetable Cottage Pie,The Healthy Apples Lentil & Root Vegetable Cottage Pie,dinner,British family kitchen,medium,6,25,45,"1 tbsp olive oil
1 onion, finely chopped
2 carrots, diced
2 celery sticks, diced
1 parsnip, diced
2 garlic cloves, crushed
1 tbsp tomato purée
300g dried green or brown lentils
1 x 400g tin chopped tomatoes
600ml low-salt vegetable stock
1 tsp dried thyme
150g frozen peas
1kg potatoes, chopped
200g swede, chopped
30g butter and 3 tbsp milk for mash","1. Cook onion, carrot, celery and parsnip in olive oil for 10 minutes.
2. Add garlic and tomato purée.
3. Add lentils, chopped tomatoes, stock and thyme and simmer until thick and tender.
4. Stir in peas.
5. Boil potatoes and swede, then mash with butter and milk.
6. Spoon lentil base into a dish, top with mash and bake at 200°C for 25–30 minutes.",Lentils and root vegetables make a filling family bake with savoury depth from slow-cooked vegetables rather than packet gravy.,"contains lentils
contains root vegetables
batch-cook friendly
freezer friendly
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-008,lentil-root-vegetable-cottage-pie
THA-009,"Salmon, Broccoli & Brown Rice Traybake","The Healthy Apples Salmon, Broccoli & Brown Rice Traybake",dinner,Nordic-Mediterranean inspired,medium,4,15,30,"250g brown rice
4 quality salmon fillets
1 large head broccoli, cut into florets
250g cherry tomatoes
1 tbsp olive oil
2 garlic cloves, sliced
Zest and juice of 1 lemon
1 tsp dried oregano
Fresh dill or parsley","1. Cook brown rice until tender.
2. Heat oven to 200°C fan.
3. Toss broccoli and tomatoes with olive oil, garlic, oregano and lemon zest.
4. Roast for 12 minutes.
5. Nestle salmon into tray and roast for 12–14 minutes more.
6. Serve over brown rice with lemon juice and herbs.","Quality salmon sits alongside generous broccoli, tomatoes and brown rice, creating a simple whole-food fish dinner.","contains salmon
contains broccoli
contains brown rice
traybake method
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-009,salmon-broccoli-brown-rice-traybake
THA-010,"Roasted Carrot, Chickpea & Herb Grain Salad","The Healthy Apples Roasted Carrot, Chickpea & Herb Grain Salad",side,Middle Eastern-inspired,easy,4,15,30,"150g wholegrain bulgur wheat
400g carrots, cut into batons
1 x 400g tin chickpeas, drained
2 tbsp olive oil
1 tsp ground cumin
1 tsp smoked paprika
Zest and juice of 1 lemon
3 spring onions, sliced
A handful parsley and mint, chopped
2 tbsp mixed seeds","1. Heat oven to 200°C fan.
2. Toss carrots and chickpeas with olive oil, cumin and smoked paprika.
3. Roast for 25–28 minutes until tender.
4. Cook bulgur wheat according to packet and fluff with a fork.
5. Whisk lemon zest, lemon juice and a little olive oil.
6. Combine bulgur, carrots, chickpeas, spring onions and herbs, then scatter with seeds.","Wholegrain bulgur, chickpeas, carrots, herbs and seeds make a sturdy whole-food side or lunchbox main.","contains chickpeas
contains wholegrain bulgur wheat
contains carrots
lunchbox friendly
can be served warm or cold",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-010,roasted-carrot-chickpea-herb-grain-salad
